object SCIN CADM2 COX2 RELL1 LOC100287015 TREML3P 1558154_at KLHL8 LOC101927592 MIR646HG||LOC729296 NCKAP5L LOC101927657 1565265_at OR4D1 MAP7 NPR2 MEOX1 TCP11L1 KDM6B 215137_at IGLV@ ZSCAN18 CASQ1 220932_at GJA9||MYCBP||GJA9-MYCBP TAS2R16 NFIA LOC283075 234368_at 234817_at LOC101927330 237147_at PPOX 239402_at 241170_at C3orf62||MIR4271 SYNE1 ZNF788 decision
GSM627139.CEL 3.063 2.6441 13.5038 3.8423 3.8578 5.6748 5.0534 2.7685 3.4818 3.2713 3.978 3.1281 3.7268 3.9408 5.547 6.1074 3.9559 5.0828 7.141 6.0086 3.15 5.5146 3.5629 4.0317 4.3202 3.4764 5.1131 3.3003 2.7161 3.2076 4.4534 3.1903 4.0498 3.4043 2.7733 7.4985 4.2096 4.7593 autism
GSM627181.CEL 3.1018 2.661 13.7417 3.7442 4.246 4.1285 5.5098 2.8448 3.4122 3.1477 3.8709 3.2776 3.4724 4.8208 5.577 6.178 5.1752 4.5981 7.3568 5.9634 3.1021 5.6355 3.4203 3.7399 4.2318 3.0402 5.131 2.5833 2.4183 3.0433 4.3775 3.1416 4.341 3.624 2.661 6.5859 4.2008 4.1538 autism
GSM627205.CEL 2.9992 2.4816 13.5691 3.9997 3.9901 4.4133 5.5595 2.5945 3.7842 3.037 3.7506 3.3064 3.691 4.7889 5.5374 5.6688 4.6328 4.6711 6.8416 5.723 3.2302 5.4339 3.6086 3.7442 4.2112 3.1703 5.1183 2.7515 2.57 3.1637 4.5508 2.9349 4.4136 3.5036 2.8369 7.702 3.8502 4.4781 autism
GSM627214.CEL 2.7774 2.5742 13.5397 3.7128 4.1502 4.1687 5.4016 2.7324 3.3858 3.2377 3.5158 2.9138 3.6412 4.4177 5.2007 5.906 4.5961 5.0383 6.1011 5.5182 3.2609 5.6093 2.9993 3.8553 4.0353 3.0101 5.1232 3.0057 2.5168 3.1854 4.2425 3.2113 4.2396 3.6877 2.6671 7.1057 3.7562 4.7882 autism
GSM627180.CEL 2.876 2.8089 13.7183 3.8997 3.923 4.3744 5.758 2.7905 3.6276 3.3469 3.7696 3.2011 3.7059 4.441 5.3866 5.7928 3.9701 4.3704 6.9183 5.8292 3.049 5.778 3.2316 3.9025 4.0703 3.3562 4.7225 2.7328 2.5558 3.3176 4.5993 3.0791 4.1707 3.4126 3.0299 7.3749 4.4113 4.2495 autism
GSM627172.CEL 2.8938 2.5953 13.6376 4.017 4.333 4.2648 5.4488 2.8762 3.4948 3.112 4.0851 3.3117 4.1124 4.9183 4.1779 6.042 4.5531 4.6325 6.9064 6.2371 3.8035 5.4145 3.5849 3.857 4.3573 3.3932 5.3607 3.0579 2.6186 3.371 4.4379 3.1091 4.4171 3.7388 3.0106 6.3445 4.1505 4.3061 autism
GSM627184.CEL 2.8414 2.7897 13.3558 3.9944 4.3249 3.9108 5.4383 2.8946 3.6848 3.1942 3.8299 3.2866 3.571 4.3316 4.9501 6.5489 4.2055 4.967 7.7738 6.122 3.5901 5.7074 3.3948 3.5775 4.555 3.3683 5.0936 2.8695 2.5736 3.0621 4.934 3.1633 4.5221 4.0734 2.843 7.1199 4.2914 4.4041 autism
GSM627193.CEL 3.1203 2.7459 13.6062 3.9415 4.2004 4.7315 5.3656 2.5601 3.9251 3.0062 3.8809 3.2594 3.7034 5.0468 5.1383 5.8097 4.8948 4.0782 7.9055 6.1603 3.4343 5.4891 3.4194 3.92 4.0466 3.1866 5.014 2.816 2.6264 3.1532 4.5951 3.0174 4.624 3.571 2.7995 6.4627 4.1803 4.2375 autism
GSM627191.CEL 2.9918 2.4723 13.4544 4.137 5.1737 4.174 5.2546 2.825 3.3037 3.5199 4.0987 3.2505 3.8908 4.1759 4.9142 6.1762 4.3539 5.2063 6.9365 5.8824 2.9215 5.267 3.3313 3.7103 4.431 3.5138 5.5898 3.5604 2.7102 3.041 4.3398 3.0101 4.6208 3.6328 2.6317 6.4486 4.4208 4.3671 autism
GSM627176.CEL 2.889 2.7066 13.7187 4.0757 4.0115 4.6125 5.8329 2.6891 3.5264 3.5556 4.0393 3.2865 3.7544 4.7244 5.4905 5.9255 4.5296 4.1893 7.011 6.0912 3.2868 5.5678 3.7288 3.7039 4.2399 3.2384 4.823 3.0113 3.052 3.4475 4.31 3.3456 4.3394 3.5869 2.7402 7.2227 4.2846 4.4614 autism
GSM627194.CEL 2.7804 2.8474 13.6332 4.1393 4.1829 4.4038 5.5054 2.7779 3.7478 3.0515 3.6501 3.3409 3.6613 4.8842 5.4636 5.4733 4.5617 5.179 7.551 5.8922 3.2785 5.1654 3.5641 3.9221 4.2843 3.0163 4.8614 3.052 2.6768 3.2847 4.0647 3.1827 4.5532 3.5457 2.7475 6.753 4.5347 4.7902 autism
GSM627154.CEL 2.9601 2.6778 13.4507 4.2807 4.5878 4.1944 5.4722 3.2014 3.1339 3.4421 3.7636 3.0948 3.4014 4.0676 5.4173 5.9861 4.5224 4.5124 8.9766 6.1865 3.0656 5.2686 3.2581 3.8637 4.0369 2.949 4.8179 3.1892 2.5763 3.2753 4.2435 3.0118 4.5785 3.2453 2.7581 7.0015 4.1338 4.2034 autism
GSM627187.CEL 2.7114 2.7828 13.3871 3.8911 4.1696 4.2215 5.1387 2.6118 3.362 3.1617 3.9059 3.2666 3.946 4.6771 5.7075 5.6695 4.4778 4.5047 6.7947 6.3072 3.186 5.1582 3.341 3.7481 4.4547 3.4191 5.0019 2.9268 2.5828 3.1789 4.427 2.5679 4.5793 3.6534 2.9983 6.8234 4.2355 4.4381 autism
GSM627198.CEL 3.0419 2.6362 13.6352 4.0495 3.7414 4.513 5.4885 3.2936 3.6233 3.4159 3.7383 3.1965 3.7104 4.8114 4.6034 6.1321 4.6111 4.566 7.4979 5.8693 3.3086 5.3957 3.4196 3.7661 4.1951 3.2287 5.5236 2.9058 2.4991 3.191 4.0719 3.0473 4.3928 3.6112 2.669 6.2536 4.1749 4.0865 autism
GSM627160.CEL 2.8677 2.7415 13.6875 4.1237 4.0975 4.2869 5.4443 2.7476 3.4372 3.285 3.9568 3.2886 3.6393 4.8303 5.0154 5.6432 4.3537 5.4931 7.2462 6.1959 3.0827 5.2969 4.0078 4.013 4.1243 3.6186 5.0554 3.6372 2.5427 3.4884 4.2745 3.1076 4.6823 3.2762 2.8382 7.1591 4.0133 4.2803 autism
GSM627185.CEL 3.1281 2.6613 13.3384 4.1621 3.556 3.7599 5.2561 2.6307 4.0399 3.572 4.2536 3.5176 3.8189 3.928 4.5263 5.8041 4.6624 4.3589 6.8817 5.914 3.0109 5.2318 3.56 4.1976 4.5211 3.0958 4.8398 3.0289 2.4553 2.7902 4.3609 3.1762 4.5131 3.4126 3.0582 6.9463 3.8384 4.4747 autism
GSM627206.CEL 2.8072 2.6254 13.6441 4.1156 4.4994 4.4163 5.5472 2.6411 3.3212 3.3109 3.715 3.1074 3.9165 4.514 5.5822 5.9991 4.3616 5.132 7.5592 5.7382 3.6533 5.2771 3.4425 3.5145 4.1418 3.0152 4.9165 2.901 2.5139 3.2342 4.2533 2.7696 4.5939 3.3087 2.7473 6.944 4.179 4.154 autism
GSM627161.CEL 3.0116 2.7456 13.1934 4.601 4.3621 4.3337 5.8377 2.9486 3.6535 3.2712 3.6645 3.0482 4.2528 4.9019 4.3194 6.3176 4.0794 5.1459 7.711 5.9491 3.3924 5.4484 3.2747 3.8302 4.2908 3.1163 4.9222 3.08 2.8375 3.1783 4.8707 3.0766 4.5516 3.2088 3.2297 7.3409 4.0803 4.2235 autism
GSM627162.CEL 3.0203 2.6794 13.4955 3.8501 3.9747 4.3749 6.0031 2.5693 3.6516 3.1565 3.9459 3.1921 3.5633 4.649 5.0889 5.9915 4.0811 4.5257 7.1713 6.2897 3.366 5.4862 3.6643 3.8887 3.8653 3.0716 4.7002 2.8163 2.5078 3.3659 3.8909 3.2901 4.5779 3.6585 3.2691 6.7516 3.8297 4.3997 autism
GSM627210.CEL 2.8831 2.607 13.6166 4.0446 3.7818 4.2103 5.2523 2.7416 3.8933 3.2642 3.9823 3.4939 3.8206 5.2338 6.0776 5.75 4.2312 4.7889 8.1698 6.1509 3.2336 6.1453 3.7123 4.4234 4.7091 3.6078 4.9159 2.8215 2.7784 3.4117 4.2046 3.106 4.2521 3.3868 2.926 7.337 4.2331 4.3399 autism
GSM627189.CEL 2.769 2.6834 13.6289 4.4057 4.0028 4.7615 5.3038 2.6886 3.5577 2.9947 3.8738 3.2204 3.9062 4.9064 5.0725 5.7881 4.6576 4.6882 7.6543 6.1357 3.2716 5.3258 3.6657 3.7977 4.5081 3.1483 4.8878 2.9514 2.5704 2.9535 4.3307 2.9612 4.338 3.3584 2.8664 7.0093 4.1917 4.1414 autism
